,
Tomorrow is the big day. I’m so excited to share what I’ve been working on for so long. ✨,• Tomorrow is the big day. I’m so excited to share what I’ve been working on for so long. ✨
"Introducing Imagine: Fashion Photography in Midjourney - the ultimate digital guide for unlocking the full potential of Midjourney's capabilities and creating stunning imagery that goes beyond your imagination. 

As tools like Midjourney are here to stay, gathering a real understanding of its capabilities and how the tool can be utilised will be crucial for image makers going forward.

Thus I have spent months extracting the most effective methods and techniques, and I have now compiled all of my experience and accumulated knowledge into easy-to-follow instructions and practical tips so that you can be on your way to creating amazing images in no time. 

The guide has been tested and reviewed by more than 30 photographers, graphic designers and other image makers around the world for weeks to ensure that it meets expectations and provides real value. 

Imagine: Fashion Photography in Midjourney is available for purchase on store.mariustroy.com. Link in bio as well.

Good luck on your journey exploring Midjourney! :)","• Introducing Imagine: Fashion Photography in Midjourney - the ultimate digital guide for unlocking the full potential of Midjourney's capabilities and creating stunning imagery that goes beyond your imagination.   As tools like Midjourney are here to stay, gathering a real understanding of its capabilities and how the tool can be utilised will be crucial for image makers going forward.  Thus I have spent months extracting the most effective methods and techniques, and I have now compiled all of my experience and accumulated knowledge into easy-to-follow instructions and practical tips so that you can be on your way to creating amazing images in no time.   The guide has been tested and reviewed by more than 30 photographers, graphic designers and other image makers around the world for weeks to ensure that it meets expectations and provides real value.   Imagine: Fashion Photography in Midjourney is available for purchase on store.mariustroy.com. Link in bio as well.  Good luck on your journey exploring Midjourney! :)"
"Pantonesque 🟣🟠

My guide to Midjourney is out. Link in bio.",• Pantonesque 🟣🟠  My guide to Midjourney is out. Link in bio.
"Passe-temps. Slow morning.

My guide to Midjourney is out now.",• Passe-temps. Slow morning.  My guide to Midjourney is out now.
"Parisian flowers. 🌸 it is spring time isn’t it? 

Link to my Midjourney guide in my bio 📸",• Parisian flowers. 🌸 it is spring time isn’t it?   Link to my Midjourney guide in my bio 📸
"Within You Without You ✨

The Ai revolution may seem scary, but it’s there available for you to explore. Who knows, perhaps it’ll spark a new idea or two.

If you should need it, my guide to Midjourney is available through the link in my bio.","• Within You Without You ✨  The Ai revolution may seem scary, but it’s there available for you to explore. Who knows, perhaps it’ll spark a new idea or two.  If you should need it, my guide to Midjourney is available through the link in my bio."
"City reimagined 🐚

I’m using midjourney as a collaborative partner to dream up new architectural concepts. Will the brainstorming process for architects be forever changed by the dawn of Ai image generators?

#midjourneyarchitecture #midjourney #midjourneyart #midjourneysculpture #aiart #midjourneygallery",• City reimagined 🐚  I’m using midjourney as a collaborative partner to dream up new architectural concepts. Will the brainstorming process for architects be forever changed by the dawn of Ai image generators?  #midjourneyarchitecture #midjourney #midjourneyart #midjourneysculpture #aiart #midjourneygallery
"Within You Without You ✨ Part II

Generating ideas in Midjourney could help you visualize new concepts for your shoots. Imagine being able to communicate your ideas this clearly to a creative team.",• Within You Without You ✨ Part II  Generating ideas in Midjourney could help you visualize new concepts for your shoots. Imagine being able to communicate your ideas this clearly to a creative team.
Dreaming up concepts for sculptures I’d love to make 🪸,• Dreaming up concepts for sculptures I’d love to make 🪸
